ageType_ID,AgeType,Region,CD1,CD2,Other,All_data,CD1_100,CD2_100,Other_100,All_100,year,ID,Region_product
,,Архангельская обл.,224.0,3648.0,581.0,4454.0,65.0,430.0,68.0,565.0,2022-06-01,103,Архангельская_область
,,Архангельская обл.,224.0,3648.0,581.0,4454.0,65.0,430.0,68.0,565.0,2022-07-01,104,Архангельская_область
,,Архангельская обл.,224.0,3648.0,581.0,4454.0,65.0,430.0,68.0,565.0,2022-08-01,105,Архангельская_область
,,Архангельская обл.,224.0,3648.0,581.0,4454.0,65.0,430.0,68.0,565.0,2022-09-01,106,Архангельская_область
,,Архангельская обл.,224.0,3648.0,581.0,4454.0,65.0,430.0,68.0,565.0,2022-10-01,107,Архангельская_область
,,Архангельская обл.,224.0,3648.0,581.0,4454.0,65.0,430.0,68.0,565.0,2022-11-01,108,Архангельская_область
,,Архангельская обл.,224.0,3648.0,581.0,4454.0,65.0,430.0,68.0,565.0,2022-12-01,109,Архангельская_область
,,Архангельская обл.,224.0,3648.0,581.0,4454.0,65.0,430.0,68.0,565.0,2022-02-01,110,Архангельская_область
,,Астраханская обл.,134.0,2745.0,93.0,2974.0,39.0,352.0,12.0,405.0,2020-03-01,111,Астраханская_область
,,Астраханская обл.,134.0,2745.0,93.0,2974.0,39.0,352.0,12.0,405.0,2020-04-01,112,Астраханская_область
,,Астраханская обл.,134.0,2745.0,93.0,2974.0,39.0,352.0,12.0,405.0,2020-05-01,113,Астраханская_область
,,Астраханская обл.,134.0,2745.0,93.0,2974.0,39.0,352.0,12.0,405.0,2020-06-01,114,Астраханская_область
,,Астраханская обл.,134.0,2745.0,93.0,2974.0,39.0,352.0,12.0,405.0,2020-07-01,115,Астраханская_область
,,Астраханская обл.,134.0,2745.0,93.0,2974.0,39.0,352.0,12.0,405.0,2020-08-01,116,Астраханская_область
,,Астраханская обл.,134.0,2745.0,93.0,2974.0,39.0,352.0,12.0,405.0,2020-09-01,117,Астраханская_область
,,Астраханская обл.,134.0,2745.0,93.0,2974.0,39.0,352.0,12.0,405.0,2020-10-01,118,Астраханская_область
,,Астраханская обл.,134.0,2745.0,93.0,2974.0,39.0,352.0,12.0,405.0,2020-11-01,119,Астраханская_область
,,Астраханская обл.,134.0,2745.0,93.0,2974.0,39.0,352.0,12.0,405.0,2020-12-01,120,Астраханская_область
,,Астраханская обл.,134.0,2745.0,93.0,2974.0,39.0,352.0,12.0,405.0,2020-02-01,121,Астраханская_область
,,Астраханская обл.,137.0,2754.0,96.0,2988.0,48.0,362.0,12.0,424.0,2022-03-01,122,Астраханская_область
,,Астраханская обл.,137.0,2754.0,96.0,2988.0,48.0,362.0,12.0,424.0,2022-04-01,123,Астраханская_область
,,Астраханская обл.,137.0,2754.0,96.0,2988.0,48.0,362.0,12.0,424.0,2022-05-01,124,Астраханская_область
,,Астраханская обл.,137.0,2754.0,96.0,2988.0,48.0,362.0,12.0,424.0,2022-06-01,125,Астраханская_область
,,Астраханская обл.,137.0,2754.0,96.0,2988.0,48.0,362.0,12.0,424.0,2022-07-01,126,Астраханская_область
,,Астраханская обл.,137.0,2754.0,96.0,2988.0,48.0,362.0,12.0,424.0,2022-08-01,127,Астраханская_область
,,Астраханская обл.,137.0,2754.0,96.0,2988.0,48.0,362.0,12.0,424.0,2022-09-01,128,Астраханская_область
,,Астраханская обл.,137.0,2754.0,96.0,2988.0,48.0,362.0,12.0,424.0,2022-10-01,129,Астраханская_область
,,Астраханская обл.,137.0,2754.0,96.0,2988.0,48.0,362.0,12.0,424.0,2022-11-01,130,Астраханская_область
,,Астраханская обл.,137.0,2754.0,96.0,2988.0,48.0,362.0,12.0,424.0,2022-12-01,131,Астраханская_область
,,Астраханская обл.,137.0,2754.0,96.0,2988.0,48.0,362.0,12.0,424.0,2022-02-01,132,Астраханская_область
,,Башкортостан Респ.,586.0,9133.0,21.0,9742.0,46.0,292.0,0.0,339.0,2020-03-01,133,Республика_Башкортостан
,,Башкортостан Респ.,586.0,9133.0,21.0,9742.0,46.0,292.0,0.0,339.0,2020-04-01,134,Республика_Башкортостан
,,Башкортостан Респ.,586.0,9133.0,21.0,9742.0,46.0,292.0,0.0,339.0,2020-05-01,135,Республика_Башкортостан
,,Башкортостан Респ.,586.0,9133.0,21.0,9742.0,46.0,292.0,0.0,339.0,2020-06-01,136,Республика_Башкортостан
,,Башкортостан Респ.,586.0,9133.0,21.0,9742.0,46.0,292.0,0.0,339.0,2020-07-01,137,Республика_Башкортостан
,,Башкортостан Респ.,586.0,9133.0,21.0,9742.0,46.0,292.0,0.0,339.0,2020-08-01,138,Республика_Башкортостан
,,Башкортостан Респ.,586.0,9133.0,21.0,9742.0,46.0,292.0,0.0,339.0,2020-09-01,139,Республика_Башкортостан
,,Башкортостан Респ.,586.0,9133.0,21.0,9742.0,46.0,292.0,0.0,339.0,2020-10-01,140,Республика_Башкортостан
,,Башкортостан Респ.,586.0,9133.0,21.0,9742.0,46.0,292.0,0.0,339.0,2020-11-01,141,Республика_Башкортостан
,,Башкортостан Респ.,586.0,9133.0,21.0,9742.0,46.0,292.0,0.0,339.0,2020-12-01,142,Республика_Башкортостан
,,Башкортостан Респ.,586.0,9133.0,21.0,9742.0,46.0,292.0,0.0,339.0,2020-02-01,143,Республика_Башкортостан
,,Башкортостан Респ.,607.0,9741.0,22.0,10372.0,49.0,315.0,0.0,366.0,2022-03-01,144,Республика_Башкортостан
,,Башкортостан Респ.,607.0,9741.0,22.0,10372.0,49.0,315.0,0.0,366.0,2022-04-01,145,Республика_Башкортостан
,,Башкортостан Респ.,607.0,9741.0,22.0,10372.0,49.0,315.0,0.0,366.0,2022-05-01,146,Республика_Башкортостан
,,Башкортостан Респ.,607.0,9741.0,22.0,10372.0,49.0,315.0,0.0,366.0,2022-06-01,147,Республика_Башкортостан
,,Башкортостан Респ.,607.0,9741.0,22.0,10372.0,49.0,315.0,0.0,366.0,2022-07-01,148,Республика_Башкортостан
,,Башкортостан Респ.,607.0,9741.0,22.0,10372.0,49.0,315.0,0.0,366.0,2022-08-01,149,Республика_Башкортостан
,,Башкортостан Респ.,607.0,9741.0,22.0,10372.0,49.0,315.0,0.0,366.0,2022-09-01,150,Республика_Башкортостан
,,Башкортостан Респ.,607.0,9741.0,22.0,10372.0,49.0,315.0,0.0,366.0,2022-10-01,151,Республика_Башкортостан
,,Башкортостан Респ.,607.0,9741.0,22.0,10372.0,49.0,315.0,0.0,366.0,2022-11-01,152,Республика_Башкортостан
,,Башкортостан Респ.,607.0,9741.0,22.0,10372.0,49.0,315.0,0.0,366.0,2022-12-01,153,Республика_Башкортостан
,,Башкортостан Респ.,607.0,9741.0,22.0,10372.0,49.0,315.0,0.0,366.0,2022-02-01,154,Республика_Башкортостан
,,Белгородская обл.,244.0,4033.0,55.0,4336.0,45.0,320.0,4.0,371.0,2020-03-01,155,Белгородская_область
,,Белгородская обл.,244.0,4033.0,55.0,4336.0,45.0,320.0,4.0,371.0,2020-04-01,156,Белгородская_область
,,Белгородская обл.,244.0,4033.0,55.0,4336.0,45.0,320.0,4.0,371.0,2020-05-01,157,Белгородская_область
,,Белгородская обл.,244.0,4033.0,55.0,4336.0,45.0,320.0,4.0,371.0,2020-06-01,158,Белгородская_область
,,Белгородская обл.,244.0,4033.0,55.0,4336.0,45.0,320.0,4.0,371.0,2020-07-01,159,Белгородская_область
,,Белгородская обл.,244.0,4033.0,55.0,4336.0,45.0,320.0,4.0,371.0,2020-08-01,160,Белгородская_область
,,Белгородская обл.,244.0,4033.0,55.0,4336.0,45.0,320.0,4.0,371.0,2020-09-01,161,Белгородская_область
,,Белгородская обл.,244.0,4033.0,55.0,4336.0,45.0,320.0,4.0,371.0,2020-10-01,162,Белгородская_область
,,Белгородская обл.,244.0,4033.0,55.0,4336.0,45.0,320.0,4.0,371.0,2020-11-01,163,Белгородская_область
,,Белгородская обл.,244.0,4033.0,55.0,4336.0,45.0,320.0,4.0,371.0,2020-12-01,164,Белгородская_область
,,Белгородская обл.,244.0,4033.0,55.0,4336.0,45.0,320.0,4.0,371.0,2020-02-01,165,Белгородская_область
,,Белгородская обл.,257.0,4227.0,37.0,4523.0,54.0,340.0,2.0,399.0,2022-03-01,166,Белгородская_область
,,Белгородская обл.,257.0,4227.0,37.0,4523.0,54.0,340.0,2.0,399.0,2022-04-01,167,Белгородская_область
,,Белгородская обл.,257.0,4227.0,37.0,4523.0,54.0,340.0,2.0,399.0,2022-05-01,168,Белгородская_область
,,Белгородская обл.,257.0,4227.0,37.0,4523.0,54.0,340.0,2.0,399.0,2022-06-01,169,Белгородская_область
,,Белгородская обл.,257.0,4227.0,37.0,4523.0,54.0,340.0,2.0,399.0,2022-07-01,170,Белгородская_область
,,Белгородская обл.,257.0,4227.0,37.0,4523.0,54.0,340.0,2.0,399.0,2022-08-01,171,Белгородская_область
,,Белгородская обл.,257.0,4227.0,37.0,4523.0,54.0,340.0,2.0,399.0,2022-09-01,172,Белгородская_область
,,Белгородская обл.,257.0,4227.0,37.0,4523.0,54.0,340.0,2.0,399.0,2022-10-01,173,Белгородская_область
,,Белгородская обл.,257.0,4227.0,37.0,4523.0,54.0,340.0,2.0,399.0,2022-11-01,174,Белгородская_область
,,Белгородская обл.,257.0,4227.0,37.0,4523.0,54.0,340.0,2.0,399.0,2022-12-01,175,Белгородская_область
,,Белгородская обл.,257.0,4227.0,37.0,4523.0,54.0,340.0,2.0,399.0,2022-02-01,176,Белгородская_область
,,Брянская обл.,202.0,3696.0,29.0,3928.0,51.0,382.0,3.0,439.0,2020-03-01,177,Брянская_область
,,Брянская обл.,202.0,3696.0,29.0,3928.0,51.0,382.0,3.0,439.0,2020-04-01,178,Брянская_область
,,Брянская обл.,202.0,3696.0,29.0,3928.0,51.0,382.0,3.0,439.0,2020-05-01,179,Брянская_область
,,Брянская обл.,202.0,3696.0,29.0,3928.0,51.0,382.0,3.0,439.0,2020-06-01,180,Брянская_область
,,Брянская обл.,202.0,3696.0,29.0,3928.0,51.0,382.0,3.0,439.0,2020-07-01,181,Брянская_область
,,Брянская обл.,202.0,3696.0,29.0,3928.0,51.0,382.0,3.0,439.0,2020-08-01,182,Брянская_область
,,Брянская обл.,202.0,3696.0,29.0,3928.0,51.0,382.0,3.0,439.0,2020-09-01,183,Брянская_область
,,Брянская обл.,202.0,3696.0,29.0,3928.0,51.0,382.0,3.0,439.0,2020-10-01,184,Брянская_область
,,Брянская обл.,202.0,3696.0,29.0,3928.0,51.0,382.0,3.0,439.0,2020-11-01,185,Брянская_область
,,Брянская обл.,202.0,3696.0,29.0,3928.0,51.0,382.0,3.0,439.0,2020-12-01,186,Брянская_область
,,Брянская обл.,202.0,3696.0,29.0,3928.0,51.0,382.0,3.0,439.0,2020-02-01,187,Брянская_область
,,Брянская обл.,205.0,3807.0,30.0,4043.0,58.0,403.0,3.0,465.0,2022-03-01,188,Брянская_область
,,Брянская обл.,205.0,3807.0,30.0,4043.0,58.0,403.0,3.0,465.0,2022-04-01,189,Брянская_область
,,Брянская обл.,205.0,3807.0,30.0,4043.0,58.0,403.0,3.0,465.0,2022-05-01,190,Брянская_область
,,Брянская обл.,205.0,3807.0,30.0,4043.0,58.0,403.0,3.0,465.0,2022-06-01,191,Брянская_область
,,Брянская обл.,205.0,3807.0,30.0,4043.0,58.0,403.0,3.0,465.0,2022-07-01,192,Брянская_область
